timestamp,heart_rate_bpm,stress_level
2026-02-03T00:01:00,66,low
2026-02-03T00:02:00,67,medium
2026-02-03T00:03:00,69,medium
2026-02-03T00:04:00,68,low
2026-02-03T00:05:00,69,medium
2026-02-03T00:06:00,71,medium
2026-02-03T00:07:00,70,medium
2026-02-03T00:08:00,68,medium
2026-02-03T00:09:00,68,medium
2026-02-03T00:10:00,68,medium
2026-02-03T00:11:00,68,medium
2026-02-03T00:12:00,68,medium
2026-02-03T00:13:00,69,medium
2026-02-03T00:14:00,68,medium
2026-02-03T00:15:00,67,medium
2026-02-03T00:16:00,68,medium
2026-02-03T00:17:00,67,medium
2026-02-03T00:18:00,68,medium
2026-02-03T00:19:00,67,medium
2026-02-03T00:20:00,66,medium
2026-02-03T00:21:00,67,medium
2026-02-03T00:22:00,68,medium
2026-02-03T00:23:00,69,low
2026-02-03T00:24:00,68,low
2026-02-03T00:25:00,66,medium
2026-02-03T00:26:00,66,medium
2026-02-03T00:27:00,67,medium
2026-02-03T00:28:00,65,medium
2026-02-03T00:29:00,65,medium
2026-02-03T00:30:00,67,medium
2026-02-03T00:31:00,68,medium
2026-02-03T00:32:00,67,medium
2026-02-03T00:33:00,66,medium
2026-02-03T00:34:00,67,medium
2026-02-03T00:35:00,67,medium
2026-02-03T00:36:00,68,medium
2026-02-03T00:37:00,69,medium
2026-02-03T00:38:00,68,medium
2026-02-03T00:39:00,68,medium
2026-02-03T00:40:00,67,medium
2026-02-03T00:41:00,68,medium
2026-02-03T00:42:00,68,medium
2026-02-03T00:43:00,68,medium
2026-02-03T00:44:00,69,medium
2026-02-03T00:45:00,70,medium
2026-02-03T00:46:00,70,medium
2026-02-03T00:47:00,68,medium
2026-02-03T00:48:00,69,medium
2026-02-03T00:49:00,68,medium
2026-02-03T00:50:00,69,medium
2026-02-03T00:51:00,69,medium
2026-02-03T00:52:00,68,medium
2026-02-03T00:53:00,68,medium
2026-02-03T00:54:00,69,medium
2026-02-03T00:55:00,70,medium
2026-02-03T00:56:00,70,medium
2026-02-03T00:57:00,71,medium
2026-02-03T00:58:00,71,medium
2026-02-03T00:59:00,71,medium
2026-02-03T01:00:00,73,medium
2026-02-03T01:01:00,73,medium
2026-02-03T01:02:00,72,medium
2026-02-03T01:03:00,73,medium
2026-02-03T01:04:00,74,medium
2026-02-03T01:05:00,74,medium
2026-02-03T01:06:00,74,medium
2026-02-03T01:07:00,74,medium
2026-02-03T01:08:00,73,medium
2026-02-03T01:09:00,74,medium
2026-02-03T01:10:00,73,medium
2026-02-03T01:11:00,74,medium
2026-02-03T01:12:00,74,medium
2026-02-03T01:13:00,73,low
2026-02-03T01:14:00,72,medium
2026-02-03T01:15:00,72,medium
2026-02-03T01:16:00,71,medium
2026-02-03T01:17:00,71,medium
2026-02-03T01:18:00,70,medium
2026-02-03T01:19:00,71,medium
2026-02-03T01:20:00,73,medium
2026-02-03T01:21:00,72,medium
2026-02-03T01:22:00,72,medium
2026-02-03T01:23:00,73,medium
2026-02-03T01:24:00,71,medium
2026-02-03T01:25:00,71,medium
2026-02-03T01:26:00,72,medium
2026-02-03T01:27:00,73,medium
2026-02-03T01:28:00,75,medium
2026-02-03T01:29:00,74,medium
2026-02-03T01:30:00,75,medium
2026-02-03T01:31:00,75,medium
2026-02-03T01:32:00,73,medium
2026-02-03T01:33:00,73,medium
2026-02-03T01:34:00,73,medium
2026-02-03T01:35:00,74,medium
2026-02-03T01:36:00,74,medium
2026-02-03T01:37:00,74,low
2026-02-03T01:38:00,75,low
2026-02-03T01:39:00,76,low
2026-02-03T01:40:00,74,low
2026-02-03T01:41:00,74,low
2026-02-03T01:42:00,74,low
2026-02-03T01:43:00,73,low
2026-02-03T01:44:00,74,low
2026-02-03T01:45:00,76,medium
2026-02-03T01:46:00,75,low
2026-02-03T01:47:00,78,low
2026-02-03T01:48:00,81,medium
2026-02-03T01:49:00,83,medium
2026-02-03T01:50:00,84,medium
2026-02-03T01:51:00,86,medium
2026-02-03T01:52:00,87,medium
2026-02-03T01:53:00,88,medium
2026-02-03T01:54:00,89,medium
2026-02-03T01:55:00,90,medium
2026-02-03T01:56:00,91,medium
2026-02-03T01:57:00,92,medium
2026-02-03T01:58:00,93,medium
2026-02-03T01:59:00,94,medium
2026-02-03T02:00:00,96,medium
2026-02-03T02:01:00,98,medium
2026-02-03T02:02:00,99,medium
2026-02-03T02:03:00,99,medium
2026-02-03T02:04:00,99,medium
2026-02-03T02:05:00,102,medium
2026-02-03T02:06:00,102,medium
2026-02-03T02:07:00,104,medium
2026-02-03T02:08:00,106,medium
2026-02-03T02:09:00,106,medium
2026-02-03T02:10:00,105,medium
2026-02-03T02:11:00,105,medium
2026-02-03T02:12:00,107,medium
2026-02-03T02:13:00,108,medium
2026-02-03T02:14:00,108,medium
2026-02-03T02:15:00,108,medium
2026-02-03T02:16:00,109,medium
2026-02-03T02:17:00,110,medium
2026-02-03T02:18:00,111,medium
2026-02-03T02:19:00,111,medium
2026-02-03T02:20:00,112,medium
2026-02-03T02:21:00,113,medium
2026-02-03T02:22:00,113,medium
2026-02-03T02:23:00,112,medium
2026-02-03T02:24:00,112,medium
2026-02-03T02:25:00,112,medium
2026-02-03T02:26:00,113,medium
2026-02-03T02:27:00,115,medium
2026-02-03T02:28:00,112,medium
2026-02-03T02:29:00,114,medium
2026-02-03T02:30:00,114,medium
2026-02-03T02:31:00,113,medium
2026-02-03T02:32:00,111,medium
2026-02-03T02:33:00,113,medium
2026-02-03T02:34:00,111,medium
2026-02-03T02:35:00,111,medium
2026-02-03T02:36:00,111,medium
2026-02-03T02:37:00,111,medium
2026-02-03T02:38:00,110,medium
2026-02-03T02:39:00,111,high
2026-02-03T02:40:00,112,medium
2026-02-03T02:41:00,113,medium
2026-02-03T02:42:00,114,high
2026-02-03T02:43:00,114,high
2026-02-03T02:44:00,114,high
2026-02-03T02:45:00,114,high
2026-02-03T02:46:00,115,high
2026-02-03T02:47:00,117,high
2026-02-03T02:48:00,116,high
2026-02-03T02:49:00,114,high
2026-02-03T02:50:00,113,high
2026-02-03T02:51:00,114,high
2026-02-03T02:52:00,116,high
2026-02-03T02:53:00,117,high
2026-02-03T02:54:00,116,high
2026-02-03T02:55:00,116,high
2026-02-03T02:56:00,116,high
2026-02-03T02:57:00,117,high
2026-02-03T02:58:00,116,high
2026-02-03T02:59:00,114,high
2026-02-03T03:00:00,116,high
2026-02-03T03:01:00,115,high
2026-02-03T03:02:00,115,high
2026-02-03T03:03:00,116,high
2026-02-03T03:04:00,118,high
2026-02-03T03:05:00,118,high
2026-02-03T03:06:00,119,high
2026-02-03T03:07:00,119,high
2026-02-03T03:08:00,120,high
2026-02-03T03:09:00,121,high
2026-02-03T03:10:00,120,high
2026-02-03T03:11:00,119,high
2026-02-03T03:12:00,120,high
2026-02-03T03:13:00,118,high
2026-02-03T03:14:00,118,high
2026-02-03T03:15:00,117,high
2026-02-03T03:16:00,118,high
2026-02-03T03:17:00,116,high
2026-02-03T03:18:00,114,high
2026-02-03T03:19:00,115,high
2026-02-03T03:20:00,115,high
2026-02-03T03:21:00,117,high
2026-02-03T03:22:00,118,high
2026-02-03T03:23:00,116,high
2026-02-03T03:24:00,116,high
2026-02-03T03:25:00,117,high
2026-02-03T03:26:00,115,high
2026-02-03T03:27:00,116,high
2026-02-03T03:28:00,114,high
2026-02-03T03:29:00,115,high
2026-02-03T03:30:00,114,high
2026-02-03T03:31:00,113,high
2026-02-03T03:32:00,111,high
2026-02-03T03:33:00,111,high
2026-02-03T03:34:00,112,high
